Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
SHIRDI,38,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),LOKHANDE SADASHIV KISAN,Shiv Sena,50529,Result Declared
SHIRUR,36,DR. AMOL RAMSING KOLHE,Nationalist Congress Party – Sharadchandra Pawar,ADHALRAO SHIVAJI DATTATREY,Nationalist Congress Party,140951,Result Declared
SHRAWASTI,58,RAM SHIROMANI VERMA,Samajwadi Party,SAKET MISRA,Bharatiya Janata Party,76673,Result Declared
SIKKIM,1,INDRA HANG SUBBA,Sikkim Krantikari Morcha,BHARAT BASNETT,Citizen Action Party-Sikkim,80830,Result Declared
SILCHAR,8,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,SURYA KANTA SARKAR,Indian National Congress,264311,Result Declared
SINGHBHUM,10,JOBA MAJHI,Jharkhand Mukti Morcha,GEETA KORA,Bharatiya Janata Party,168402,Result Declared
SITAMARHI,5,DEVESH CHANDRA THAKUR,Janata Dal (United),ARJUN RAY,Rashtriya Janata Dal,51356,Result Declared
SITAPUR,30,RAKESH RATHOR,Indian National Congress,RAJESH VERMA,Bharatiya Janata Party,89641,Result Declared
SIWAN,18,VIJAYLAKSHMI DEVI,Janata Dal (United),HENA SHAHAB,Independent,92857,Result Declared
SOLAPUR,42,PRANITI SUSHILKUMAR SHINDE,Indian National Congress,RAM VITTHAL SATPUTE,Bharatiya Janata Party,74197,Result Declared
SONITPUR,11,RANJIT DUTTA,Bharatiya Janata Party,PREMLAL GANJU,Indian National Congress,361408,Result Declared
SOUTH DELHI,7,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,SAHI RAM,Aam Aadmi Party,124333,Result Declared
SOUTH GOA,2,CAPTAIN VIRIATO FERNANDES,Indian National Congress,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,13535,Result Declared
SRERAMPUR,27,KALYAN BANERJEE,All India Trinamool Congress,KABIR SHANKAR BOSE,Bharatiya Janata Party,174830,Result Declared
SRIKAKULAM,2,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,327901,Result Declared
SULTANPUR,38,RAMBHUAL NISHAD,Samajwadi Party,MANEKA SANJAY GANDHI,Bharatiya Janata Party,43174,Result Declared
SUNDARGARH,2,JUAL ORAM,Bharatiya Janata Party,DILIP KUMAR TIRKEY,Biju Janata Dal,138808,Result Declared
SUPAUL,8,DILESHWAR KAMAIT,Janata Dal (United),CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,169803,Result Declared
SURAT,24,MUKESHKUMAR CHANDRAKAANT DALAL,Bharatiya Janata Party,,,-,Uncontested
SURENDRANAGAR,9,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,261617,Result Declared
TENKASI,37,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,DR K KRISHNASAMY,All India Anna Dravida Munnetra Kazhagam,196199,Result Declared
THANJAVUR,30,MURASOLI S,Dravida Munnetra Kazhagam,SIVANESAN P,Desiya Murpokku Dravida Kazhagam,319583,Result Declared
THENI,33,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,TTV DHINAKARAN,Amma Makkal Munnettra Kazagam,278825,Result Declared
THOOTHUKKUDI,36,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,SIVASAMY VELUMANI R,All India Anna Dravida Munnetra Kazhagam,392738,Result Declared
TIKAMGARH,6,DR. VIRENDRA KUMAR,Bharatiya Janata Party,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,403312,Result Declared
TIRUCHIRAPPALLI,24,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,KARUPPAIAH. P,All India Anna Dravida Munnetra Kazhagam,313094,Result Declared
TIRUNELVELI,38,ROBERT BRUCE C,Indian National Congress,NAINAR NAGENTHRAN,Bharatiya Janata Party,165620,Result Declared
TIRUPPUR,18,"SUBBARAYAN, K.",Communist Party of India,"ARUNACHALAM, P.",All India Anna Dravida Munnetra Kazhagam,125928,Result Declared
TIRUVALLUR,1,Sasikanth Senthil,Indian National Congress,"Balaganapathy, V. Pon",Bharatiya Janata Party,572155,Result Declared
TIRUVANNAMALAI,11,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,KALIYAPERUMAL M,All India Anna Dravida Munnetra Kazhagam,233931,Result Declared
TONK-SAWAI MADHOPUR,12,HARISH CHANDRA MEENA,Indian National Congress,SUKHBIR SINGH JAUNAPURIA,Bharatiya Janata Party,64949,Result Declared
TAMLUK,30,ABHIJIT GANGOPADHYAY,Bharatiya Janata Party,DEBANGSHU BHATTACHARYA,All India Trinamool Congress,77733,Result Declared
TEHRI GARHWAL,1,MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party,JOT SINGH GUNSOLA,Indian National Congress,272493,Result Declared
THANE,25,NARESH GANPAT MHASKE,Shiv Sena,RAJAN BABURAO VICHARE,Shiv Sena (Uddhav Balasaheb Thackrey),217011,Result Declared
THIRUPATHI(SC),23,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,14569,Result Declared
THIRUVANANTHAPURAM,20,SHASHI THAROOR,Indian National Congress,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,16077,Result Declared
THRISSUR,10,SURESH GOPI,Bharatiya Janata Party,ADV V S SUNILKUMAR,Communist Party of India,74686,Result Declared
TRIPURA EAST,2,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,RAJENDRA REANG,Communist Party of India (Marxist),486819,Result Declared
TRIPURA WEST,1,BIPLAB KUMAR DEB,Bharatiya Janata Party,ASISH KUMAR SAHA,Indian National Congress,611578,Result Declared
TUMKUR,19,V. SOMANNA,Bharatiya Janata Party,S.P. MUDDAHANUMEGOWDA,Indian National Congress,175594,Result Declared
TURA,2,SALENG A SANGMA,Indian National Congress,AGATHA K SANGMA,National People's Party,155241,Result Declared
UDAIPUR,19,MANNA LAL RAWAT,Bharatiya Janata Party,TARACHAND MEENA,Indian National Congress,261608,Result Declared
UDHAMPUR,4,DR JITENDRA SINGH,Bharatiya Janata Party,CH LAL SINGH,Indian National Congress,124373,Result Declared
UJJAIN,22,ANIL FIROJIYA,Bharatiya Janata Party,MAHESH PARMAR,Indian National Congress,375860,Result Declared
UDUPI CHIKMAGALUR,15,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,K. JAYAPRAKASH HEGDE,Indian National Congress,259175,Result Declared
UJIARPUR,22,NITYANAND RAI,Bharatiya Janata Party,ALOK KUMAR MEHTA,Rashtriya Janata Dal,60102,Result Declared
ULUBERIA,26,SAJDA AHMED,All India Trinamool Congress,ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,218673,Result Declared
UNNAO,33,SWAMI SACHCHIDANAND HARI SAKSHI,Bharatiya Janata Party,ANNU TANDON,Samajwadi Party,35818,Result Declared
UTTARA KANNADA,12,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,DR. ANJALI NIMBALKAR,Indian National Congress,337428,Result Declared
VELLORE,8,DM KATHIR ANAND,Dravida Munnetra Kazhagam,AC SHANMUGAM,Bharatiya Janata Party,215702,Result Declared
VIDISHA,18,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,PRATAPBHANU SHARMA,Indian National Congress,821408,Result Declared
VILUPPURAM,13,RAVIKUMAR. D,Viduthalai Chiruthaigal Katch,BHAGYARAJ. J,All India Anna Dravida Munnetra Kazhagam,70703,Result Declared
VIRUDHUNAGAR,34,MANICKAM TAGORE B,Indian National Congress,VIJAYAPRABHAKARAN V,Desiya Murpokku Dravida Kazhagam,4379,Result Declared
VADAKARA,3,SHAFI PARAMBIL,Indian National Congress,K K SHAILAJA TEACHER,Communist Party of India (Marxist),114506,Result Declared
VADODARA,20,DR. HEMANG JOSHI,Bharatiya Janata Party,PADHIYAR JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,582126,Result Declared
VAISHALI,16,VEENA DEVI,Lok Janshakti Party(Ram Vilas),VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,89634,Result Declared
VALMIKI NAGAR,1,SUNIL KUMAR,Janata Dal (United),DEEPAK YADAV,Rashtriya Janata Dal,98675,Result Declared
VALSAD,26,DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,210704,Result Declared
VARANASI,77,NARENDRA MODI,Bharatiya Janata Party,AJAY RAI,Indian National Congress,152513,Result Declared
VIJAYAWADA,12,KESINENI SIVANATH (CHINNI),Telugu Desam,KESINENI SRINIVAS (NANI),Yuvajana Sramika Rythu Congress Party,282085,Result Declared
VISAKHAPATNAM,4,SRIBHARAT MATHUKUMILI,Telugu Desam,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,504247,Result Declared
VIZIANAGARAM,3,APPALANAIDU KALISETTI,Telugu Desam,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,249351,Result Declared
WARANGAL,15,KADIYAM KAVYA,Indian National Congress,AROORI RAMESH,Bharatiya Janata Party,220339,Result Declared
WARDHA,8,AMAR SHARADRAO KALE,Nationalist Congress Party – Sharadchandra Pawar,RAMDAS CHANDRABHAN TADAS,Bharatiya Janata Party,81648,Result Declared
WAYANAD,4,RAHUL GANDHI,Indian National Congress,ANNIE RAJA,Communist Party of India,364422,Result Declared
WEST DELHI,6,KAMALJEET SEHRAWAT,Bharatiya Janata Party,MAHABAL MISHRA,Aam Aadmi Party,199013,Result Declared
YAVATMAL- WASHIM,14,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,94473,Result Declared
ZAHIRABAD,5,SURESH KUMAR SHETKAR,Indian National Congress,B. B. PATIL,Bharatiya Janata Party,46188,Result Declared
